label,scenario,scenario_hash,iteration,trace_ms,lower_ms,compile_or_load_ms,first_execute_ms,execute_ms_median,execute_ms_min,execute_ms_max,handler_ms,startup_plus_first_request_ms,checksum,cache_enabled,cache_files_before,cache_bytes_before,cache_files_after,cache_bytes_after,artifact_imported,artifact_import_ms,artifact_export_ms,archive_bytes,hlo_path
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,1,0.000000,53.142834,336.101416,154.418375,154.418375,154.418375,154.418375,543.662625,543.662625,3.497339,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-1/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,2,0.000000,129.043875,1154.507041,88.145750,88.145750,88.145750,88.145750,1371.696666,1371.696666,3.354159,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-2/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,3,0.000000,81.420958,362.230917,84.745500,84.745500,84.745500,84.745500,528.397375,528.397375,3.432148,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-3/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,4,0.000000,44.115166,302.453083,72.363125,72.363125,72.363125,72.363125,418.931374,418.931374,3.338280,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-4/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,5,0.000000,41.668916,228.520750,67.414125,67.414125,67.414125,67.414125,337.603791,337.603791,3.285017,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-5/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,6,0.000000,38.924708,220.346458,65.437500,65.437500,65.437500,65.437500,324.708666,324.708666,3.449184,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-6/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,7,0.000000,43.050250,222.922125,71.038041,71.038041,71.038041,71.038041,337.010416,337.010416,3.424165,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-7/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,8,0.000000,38.115125,178.282583,62.494959,62.494959,62.494959,62.494959,278.892667,278.892667,3.560825,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-8/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,9,0.000000,37.849583,186.659458,63.848833,63.848833,63.848833,63.848833,288.357874,288.357874,3.244079,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-9/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
baseline,flax-mnist-cnn-train-real,1efff3e9c7fee6a9,10,0.000000,38.755042,180.097417,62.618792,62.618792,62.618792,62.618792,281.471251,281.471251,3.677217,false,0,0,0,0,false,0.000000,0.000000,0,artifacts/flax-mnist-real-10trial/hlo/baseline-10/baseline-flax-mnist-cnn-train-real-1efff3e9c7fee6a9.hlo.txt
