label,scenario,scenario_hash,iteration,trace_ms,lower_ms,compile_or_load_ms,first_execute_ms,execute_ms_median,execute_ms_min,execute_ms_max,handler_ms,startup_plus_first_request_ms,checksum,cache_enabled,cache_files_before,cache_bytes_before,cache_files_after,cache_bytes_after,artifact_imported,artifact_import_ms,artifact_export_ms,archive_bytes,hlo_path
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,1,0.000000,40.693750,212.867709,84.220583,84.220583,84.220583,84.220583,337.782042,346.381875,3.233620,true,42,245365,59,314219,true,8.599833,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-1/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,2,0.000000,40.551000,203.839583,82.668541,82.668541,82.668541,82.668541,327.059124,335.452957,3.194431,true,42,245365,59,314290,true,8.393833,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-2/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,3,0.000000,43.810291,240.358125,106.068167,106.068167,106.068167,106.068167,390.236583,399.372417,3.259641,true,42,245365,59,314440,true,9.135834,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-3/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,4,0.000000,42.428583,235.530166,77.459917,77.459917,77.459917,77.459917,355.418666,364.764749,3.087237,true,42,245365,59,314299,true,9.346083,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-4/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,5,0.000000,38.758042,189.910708,86.690500,86.690500,86.690500,86.690500,315.359250,323.196000,3.230942,true,42,245365,59,314194,true,7.836750,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-5/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,6,0.000000,37.016042,202.222125,76.989208,76.989208,76.989208,76.989208,316.227375,324.183500,3.209290,true,42,245365,59,314348,true,7.956125,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-6/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,7,0.000000,46.164000,298.032834,85.237750,85.237750,85.237750,85.237750,429.434584,439.047209,3.188012,true,42,245365,59,314240,true,9.612625,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-7/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,8,0.000000,44.336500,207.353084,80.851084,80.851084,80.851084,80.851084,332.540668,343.725085,3.342215,true,42,245365,59,314216,true,11.184417,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-8/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,9,0.000000,39.213917,218.614167,84.417458,84.417458,84.417458,84.417458,342.245542,350.097459,3.359449,true,42,245365,59,314171,true,7.851917,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-9/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
mismatch-control,flax-mnist-cnn-train-real-mismatch,96f359a2a2ef76e0,10,0.000000,41.388708,233.944958,81.658625,81.658625,81.658625,81.658625,356.992291,365.137041,3.205329,true,42,245365,59,314535,true,8.144750,0.000000,250166,artifacts/flax-mnist-real-10trial/hlo/mismatch-10/mismatch-control-flax-mnist-cnn-train-real-mismatch-96f359a2a2ef76e0.hlo.txt
